20
M M M M M M M M M M M M M M M M M M M M
M 0 0 0 0 0 0 0 M 0 0 0 0 0 0 0 0 0 2 M
M 0 0 0 0 0 1 M M 0 0 0 0 P 0 0 0 0 0 M
M 0 0 0 0 0 0 M 2 0 0 0 0 0 0 0 0 0 0 M
M 0 P 0 0 0 0 M M 0 0 0 0 0 0 0 0 0 0 M
M 0 0 0 0 0 0 0 M 0 0 0 0 0 0 0 0 0 0 M
M 0 0 0 2 0 0 M M 0 0 0 0 0 0 0 0 0 0 M
M 0 0 0 0 0 0 M 0 0 0 0 0 0 0 0 0 0 0 M
M T 0 0 0 0 0 M M 0 0 0 0 0 0 0 0 0 0 M
M 0 0 B 0 0 0 0 M 0 0 0 0 0 0 0 0 0 0 M
M 0 0 0 0 M M M M 0 0 0 0 0 0 0 0 0 0 M
M 0 0 0 0 M 0 0 0 0 0 0 0 0 0 0 0 0 0 M
M 0 0 0 M M 0 0 0 0 0 0 0 0 0 0 0 0 0 M
M 0 0 M M 0 0 0 0 0 0 0 0 2 0 0 0 0 0 M
M 0 M M 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 M
M M M 0 0 0 0 A 0 0 0 0 0 0 0 0 0 0 0 M
M 0 0 0 0 0 0 0 0 0 0 P 0 0 0 0 0 0 0 M
M 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 M
M 0 0 0 0 0 0 0 0 0 0 0 0 0 P 0 0 T 0 M
M M M M M M M M M M M M M M M M M M M M
